table_group,category,field_name,field_label,field_type,required,input_control,allowed_values,description,source,notes
reference_condition_scale,all,condition_scale,Poor,reference_value,reference,select_option,2,"Runs or partially functions but has major defects, structural concerns, heavy leakage, significant wear, or failed systems. Strong value discount.",shared scoring,Score meaning
reference_condition_scale,all,condition_scale,Inoperable,reference_value,reference,select_option,1,"Non-running or unable to demonstrate critical functions. Salvage, parts, or major project unit unless repaired.",shared scoring,Score meaning
reference_condition_scale,all,condition_scale,Not Verified,reference_value,reference,select_option,0,Tech could not inspect or confirm. Use sparingly and explain why.,shared scoring,Score meaning
category_component_score,Articulated Dump Trucks,engine_score,Engine Score,integer,required,select,0|1|2|3|4|5,Condition score for Engine,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,engine_notes,Engine Notes,text,optional,textarea,,Appraiser notes for Engine,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Articulated Dump Trucks,transmission_score,Transmission Score,integer,required,select,0|1|2|3|4|5,Condition score for Transmission,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,transmission_notes,Transmission Notes,text,optional,textarea,,Appraiser notes for Transmission,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Articulated Dump Trucks,center_hitch_articulation_score,Center hitch/articulation Score,integer,required,select,0|1|2|3|4|5,Condition score for Center hitch/articulation,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,center_hitch_articulation_notes,Center hitch/articulation Notes,text,optional,textarea,,Appraiser notes for Center hitch/articulation,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Articulated Dump Trucks,hydraulic_system_score,Hydraulic system Score,integer,required,select,0|1|2|3|4|5,Condition score for Hydraulic system,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,hydraulic_system_notes,Hydraulic system Notes,text,optional,textarea,,Appraiser notes for Hydraulic system,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Articulated Dump Trucks,axles_differentials_score,Axles/differentials Score,integer,required,select,0|1|2|3|4|5,Condition score for Axles/differentials,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,axles_differentials_notes,Axles/differentials Notes,text,optional,textarea,,Appraiser notes for Axles/differentials,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Articulated Dump Trucks,tires_score,Tires Score,integer,required,select,0|1|2|3|4|5,Condition score for Tires,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,tires_notes,Tires Notes,text,optional,textarea,,Appraiser notes for Tires,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Articulated Dump Trucks,cab_interior_score,Cab/interior Score,integer,required,select,0|1|2|3|4|5,Condition score for Cab/interior,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,cab_interior_notes,Cab/interior Notes,text,optional,textarea,,Appraiser notes for Cab/interior,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Articulated Dump Trucks,body_chassis_score,Body/chassis Score,integer,required,select,0|1|2|3|4|5,Condition score for Body/chassis,category checklist,Use shared condition definitions
category_component_notes,Articulated Dump Trucks,body_chassis_notes,Body/chassis Notes,text,optional,textarea,,Appraiser notes for Body/chassis,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_attachments,Articulated Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Tailgate,Attachment or option for Articulated Dump Trucks,category checklist,Store as child record where possible
category_attachments,Articulated Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Body liner,Attachment or option for Articulated Dump Trucks,category checklist,Store as child record where possible
category_attachments,Articulated Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Heated body,Attachment or option for Articulated Dump Trucks,category checklist,Store as child record where possible
category_attachments,Articulated Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Payload weighing system,Attachment or option for Articulated Dump Trucks,category checklist,Store as child record where possible
category_attachments,Articulated Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Camera system,Attachment or option for Articulated Dump Trucks,category checklist,Store as child record where possible
category_attachments,Articulated Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Fire suppression,Attachment or option for Articulated Dump Trucks,category checklist,Store as child record where possible
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,4 corner exterior,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Serial plate,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Hour meter,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Cab interior,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Engine compartment,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Center hitch close-up,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,All tires,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Dump body floor,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Articulated Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Visible leaks/damage,Required photo for Articulated Dump Trucks,category checklist,Can be enforced by app workflow
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Hours,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Brand/model desirability,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Body condition,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Tire life,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Hitch looseness,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Service history,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Fleet-maintained appearance,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Running and driving status,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Emission tier,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Articulated Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Transport to yard if purchased,Value driver to consider for Articulated Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_red_flags,Articulated Dump Trucks,structural_damage,Structural Damage,boolean,optional,checkbox,true|false,Red flag applicable to Articulated Dump Trucks,category checklist,Should trigger management review
category_red_flags,Articulated Dump Trucks,active_major_leak,Active Major Leak,boolean,optional,checkbox,true|false,Red flag applicable to Articulated Dump Trucks,category checklist,Should trigger management review
category_red_flags,Articulated Dump Trucks,hour_meter_concern,Hour Meter Concern,boolean,optional,checkbox,true|false,Red flag applicable to Articulated Dump Trucks,category checklist,Should trigger management review
category_red_flags,Articulated Dump Trucks,missing_serial_plate,Missing Serial Plate,boolean,optional,checkbox,true|false,Red flag applicable to Articulated Dump Trucks,category checklist,Should trigger management review
category_red_flags,Articulated Dump Trucks,safety_system_inoperative,Safety System Inoperative,boolean,optional,checkbox,true|false,Red flag applicable to Articulated Dump Trucks,category checklist,Should trigger management review
category_red_flags,Articulated Dump Trucks,non_running_major_component_failure,Non Running Major Component Failure,boolean,optional,checkbox,true|false,Red flag applicable to Articulated Dump Trucks,category checklist,Should trigger management review
category_component_score,Rigid Frame Dump Trucks,engine_score,Engine Score,integer,required,select,0|1|2|3|4|5,Condition score for Engine,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,engine_notes,Engine Notes,text,optional,textarea,,Appraiser notes for Engine,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Rigid Frame Dump Trucks,transmission_score,Transmission Score,integer,required,select,0|1|2|3|4|5,Condition score for Transmission,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,transmission_notes,Transmission Notes,text,optional,textarea,,Appraiser notes for Transmission,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Rigid Frame Dump Trucks,hydraulic_hoist_score,Hydraulic hoist Score,integer,required,select,0|1|2|3|4|5,Condition score for Hydraulic hoist,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,hydraulic_hoist_notes,Hydraulic hoist Notes,text,optional,textarea,,Appraiser notes for Hydraulic hoist,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Rigid Frame Dump Trucks,axles_suspension_score,Axles/suspension Score,integer,required,select,0|1|2|3|4|5,Condition score for Axles/suspension,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,axles_suspension_notes,Axles/suspension Notes,text,optional,textarea,,Appraiser notes for Axles/suspension,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Rigid Frame Dump Trucks,frame_chassis_score,Frame/chassis Score,integer,required,select,0|1|2|3|4|5,Condition score for Frame/chassis,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,frame_chassis_notes,Frame/chassis Notes,text,optional,textarea,,Appraiser notes for Frame/chassis,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Rigid Frame Dump Trucks,tires_score,Tires Score,integer,required,select,0|1|2|3|4|5,Condition score for Tires,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,tires_notes,Tires Notes,text,optional,textarea,,Appraiser notes for Tires,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Rigid Frame Dump Trucks,cab_interior_score,Cab/interior Score,integer,required,select,0|1|2|3|4|5,Condition score for Cab/interior,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,cab_interior_notes,Cab/interior Notes,text,optional,textarea,,Appraiser notes for Cab/interior,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Rigid Frame Dump Trucks,body_score,Body Score,integer,required,select,0|1|2|3|4|5,Condition score for Body,category checklist,Use shared condition definitions
category_component_notes,Rigid Frame Dump Trucks,body_notes,Body Notes,text,optional,textarea,,Appraiser notes for Body,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_attachments,Rigid Frame Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Tailgate,Attachment or option for Rigid Frame Dump Trucks,category checklist,Store as child record where possible
category_attachments,Rigid Frame Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Body liner,Attachment or option for Rigid Frame Dump Trucks,category checklist,Store as child record where possible
category_attachments,Rigid Frame Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Canopy,Attachment or option for Rigid Frame Dump Trucks,category checklist,Store as child record where possible
category_attachments,Rigid Frame Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Camera system,Attachment or option for Rigid Frame Dump Trucks,category checklist,Store as child record where possible
category_attachments,Rigid Frame Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Payload system,Attachment or option for Rigid Frame Dump Trucks,category checklist,Store as child record where possible
category_attachments,Rigid Frame Dump Trucks,attachment_option,Attachment Option,reference_value,optional,multi_select,Fire suppression,Attachment or option for Rigid Frame Dump Trucks,category checklist,Store as child record where possible
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,4 corner exterior,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Serial plate,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Hour meter,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Cab interior,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Engine compartment,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Frame rails,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,All tires,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Dump body floor,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_required_photos,Rigid Frame Dump Trucks,required_photo,Required Photo,reference_value,required,camera,Visible leaks/damage,Required photo for Rigid Frame Dump Trucks,category checklist,Can be enforced by app workflow
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Hours,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Mileage if road use,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Body condition,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Tire cost exposure,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Structural cracking,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Major rebuild history,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Road legality if applicable,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Running status,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Emission tier,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Rigid Frame Dump Trucks,value_driver,Value Driver,reference_value,reference,display_only,Overall marketability,Value driver to consider for Rigid Frame Dump Trucks,category checklist,"Use in training, summary generation, and review"
category_red_flags,Rigid Frame Dump Trucks,structural_damage,Structural Damage,boolean,optional,checkbox,true|false,Red flag applicable to Rigid Frame Dump Trucks,category checklist,Should trigger management review
category_red_flags,Rigid Frame Dump Trucks,active_major_leak,Active Major Leak,boolean,optional,checkbox,true|false,Red flag applicable to Rigid Frame Dump Trucks,category checklist,Should trigger management review
category_red_flags,Rigid Frame Dump Trucks,hour_meter_concern,Hour Meter Concern,boolean,optional,checkbox,true|false,Red flag applicable to Rigid Frame Dump Trucks,category checklist,Should trigger management review
category_red_flags,Rigid Frame Dump Trucks,missing_serial_plate,Missing Serial Plate,boolean,optional,checkbox,true|false,Red flag applicable to Rigid Frame Dump Trucks,category checklist,Should trigger management review
category_red_flags,Rigid Frame Dump Trucks,safety_system_inoperative,Safety System Inoperative,boolean,optional,checkbox,true|false,Red flag applicable to Rigid Frame Dump Trucks,category checklist,Should trigger management review
category_red_flags,Rigid Frame Dump Trucks,non_running_major_component_failure,Non Running Major Component Failure,boolean,optional,checkbox,true|false,Red flag applicable to Rigid Frame Dump Trucks,category checklist,Should trigger management review
category_component_score,Backhoe Loaders,engine_score,Engine Score,integer,required,select,0|1|2|3|4|5,Condition score for Engine,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,engine_notes,Engine Notes,text,optional,textarea,,Appraiser notes for Engine,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Backhoe Loaders,transmission_driveline_score,Transmission/driveline Score,integer,required,select,0|1|2|3|4|5,Condition score for Transmission/driveline,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,transmission_driveline_notes,Transmission/driveline Notes,text,optional,textarea,,Appraiser notes for Transmission/driveline,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Backhoe Loaders,loader_assembly_score,Loader assembly Score,integer,required,select,0|1|2|3|4|5,Condition score for Loader assembly,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,loader_assembly_notes,Loader assembly Notes,text,optional,textarea,,Appraiser notes for Loader assembly,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Backhoe Loaders,backhoe_assembly_score,Backhoe assembly Score,integer,required,select,0|1|2|3|4|5,Condition score for Backhoe assembly,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,backhoe_assembly_notes,Backhoe assembly Notes,text,optional,textarea,,Appraiser notes for Backhoe assembly,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Backhoe Loaders,hydraulic_system_score,Hydraulic system Score,integer,required,select,0|1|2|3|4|5,Condition score for Hydraulic system,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,hydraulic_system_notes,Hydraulic system Notes,text,optional,textarea,,Appraiser notes for Hydraulic system,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Backhoe Loaders,pins_bushings_score,Pins/bushings Score,integer,required,select,0|1|2|3|4|5,Condition score for Pins/bushings,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,pins_bushings_notes,Pins/bushings Notes,text,optional,textarea,,Appraiser notes for Pins/bushings,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Backhoe Loaders,tires_score,Tires Score,integer,required,select,0|1|2|3|4|5,Condition score for Tires,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,tires_notes,Tires Notes,text,optional,textarea,,Appraiser notes for Tires,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_component_score,Backhoe Loaders,cab_controls_score,Cab/controls Score,integer,required,select,0|1|2|3|4|5,Condition score for Cab/controls,category checklist,Use shared condition definitions
category_component_notes,Backhoe Loaders,cab_controls_notes,Cab/controls Notes,text,optional,textarea,,Appraiser notes for Cab/controls,category checklist,"Describe defects, leaks, play, repairs, missing items"
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,General purpose bucket,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,4-in-1 bucket,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,Extendahoe,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,Quick coupler,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,Forks,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,Hydraulic hammer circuit,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,Thumb,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_attachments,Backhoe Loaders,attachment_option,Attachment Option,reference_value,optional,multi_select,Auger,Attachment or option for Backhoe Loaders,category checklist,Store as child record where possible
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,4 corner exterior,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Serial plate,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Hour meter,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Cab or operator station,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Engine compartment,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Loader bucket edge,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Backhoe bucket teeth,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Outriggers,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Tires,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_required_photos,Backhoe Loaders,required_photo,Required Photo,reference_value,required,camera,Visible leaks/damage,Required photo for Backhoe Loaders,category checklist,Can be enforced by app workflow
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Hours,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Open cab vs enclosed cab,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,4x4,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Extendahoe,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Aux hydraulics,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Attachment package,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Pin/bushing wear,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Tire life,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Brand demand,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_value_drivers,Backhoe Loaders,value_driver,Value Driver,reference_value,reference,display_only,Running status,Value driver to consider for Backhoe Loaders,category checklist,"Use in training, summary generation, and review"
category_red_flags,Backhoe Loaders,structural_damage,Structural Damage,boolean,optional,checkbox,true|false,Red flag applicable to Backhoe Loaders,category checklist,Should trigger management review
category_red_flags,Backhoe Loaders,active_major_leak,Active Major Leak,boolean,optional,checkbox,true|false,Red flag applicable to Backhoe Loaders,category checklist,Should trigger management review
